Nome,Club,Stagione,Overall,Ruolo
C. Tévez,Juventus,15,85,"ATT, AT"
A. Vidal,Juventus,15,85,"CC, CDC"
A. Pirlo,Juventus,15,84,"CC, CDC"
D. De Rossi,Roma,15,84,CDC
G. Chiellini,Juventus,15,84,DC
G. Higuaín,Napoli,15,84,ATT
A. Barzagli,Juventus,15,83,DC
N. Vidić,Inter,15,83,DC
Diego López,Milan,15,83,POR
S. Handanovič,Inter,15,83,POR
C. Marchisio,Juventus,15,83,"CC, CDC, COC"
A. Candreva,Lazio,15,83,AD
M. Pjanić,Roma,15,83,CC
J. Cuadrado,Fiorentina,15,83,"ED, ES"
P. Pogba,Juventus,15,83,"CC, COC"
G. Buffon,Juventus,15,82,POR
Alex,Milan,15,82,DC
M. Gomez,Fiorentina,15,82,ATT
R. Palacio,Inter,15,82,ATT
Borja Valero,Fiorentina,15,82,CC
G. Rossi,Fiorentina,15,82,ATT
M. Hamšik,Napoli,15,82,COC
D. Mertens,Napoli,15,82,COC
Hernanes,Inter,15,82,"CC, COC"
M. Klose,Lazio,15,81,ATT
A. Cole,Roma,15,81,TS
Fernando Torres,Milan,15,81,ATT
N. de Jong,Milan,15,81,"CDC, CC"
R. Montolivo,Milan,15,81,"CC, CDC"
Llorente,Juventus,15,81,ATT
Gervinho,Roma,15,81,"AS, AD"
Leandro Castán,Roma,15,81,DC
K. Strootman,Roma,15,81,CC
F. Totti,Roma,15,80,"AT, ATT"
A. Cassano,Parma,15,80,AT
P. Evra,Juventus,15,80,"TS, ES"
Raúl Albiol,Napoli,15,80,DC
José Callejón,Napoli,15,80,"COC, ED"
S. El Shaarawy,Milan,15,80,AS
M. De Sanctis,Roma,15,79,POR
A. Aquilani,Fiorentina,15,79,"CC, CDC"
Maicon,Roma,15,79,TD
F. Marchetti,Lazio,15,79,POR
G. Rodríguez,Fiorentina,15,79,DC
G. Inler,Napoli,15,79,"CDC, CC"
F. Guarín,Inter,15,79,"CC, COC"
R. Nainggolan,Roma,15,79,CC
M. Cáceres,Juventus,15,79,"DC, TD"
J. Biabiany,Parma,15,79,"AD, AS"
L. Bonucci,Juventus,15,79,DC
K. Honda,Milan,15,79,"COC, ED"
K. Asamoah,Juventus,15,79,"ES, CC"
G. Bonaventura,Milan,15,79,ES
K. Glik,Torino,15,79,DC
L. Insigne,Napoli,15,79,"COC, AT, AS"
Joaquín,Fiorentina,15,78,"AD, AS"
A. Di Natale,Udinese,15,78,ATT
A. Mirante,Parma,15,78,POR
J. Ménez,Milan,15,78,"AD, AS, AT"
A. Consigli,Sassuolo,15,78,POR
Michu,Napoli,15,78,"ATT, COC"
G. Paletta,Parma,15,78,DC
D. Astori,Roma,15,78,DC
M. Fernández,Fiorentina,15,78,"COC, CC, AT"
A. Rami,Milan,15,78,DC
A. Poli,Milan,15,78,"CC, COC"
Y. M'Vila,Inter,15,78,"CDC, CC"
S. Lulić,Lazio,15,78,"ES, CC, TS"
S. de Vrij,Lazio,15,78,DC
Juan Jesus,Inter,15,78,DC
S. Savić,Fiorentina,15,78,DC
S. Keita,Roma,15,77,"CDC, CC"
P. Mexès,Milan,15,77,DC
S. Mauri,Lazio,15,77,"COC, ES, ED, CC"
S. Lichtsteiner,Juventus,15,77,"ED, TD"
H. Campagnaro,Inter,15,77,DC
L. Cana,Lazio,15,77,DC
G. Denis,Atalanta,15,77,ATT
L. Biglia,Lazio,15,77,CC
F. Quagliarella,Torino,15,77,ATT
S. Radu,Lazio,15,77,TS
Jonathan,Inter,15,77,ED
E. Viviano,Sampdoria,15,77,POR
M. Richards,Fiorentina,15,77,TD
L. Cigarini,Atalanta,15,77,CC
C. Zapata,Milan,15,77,DC
P. Osvaldo,Inter,15,77,ATT
M. Marin,Fiorentina,15,77,"COC, ES"
A. Ranocchia,Inter,15,77,DC
M. Parolo,Lazio,15,77,"CC, CDC"
A. Ogbonna,Juventus,15,77,DC
R. Pereyra,Juventus,15,77,"CC, COC, AT"
M. Destro,Roma,15,77,ATT
J. Iturbe,Roma,15,77,AD
Morata,Juventus,15,77,ATT
R. Márquez,Hellas Verona,15,76,DC
C. Ledesma,Lazio,15,76,"CDC, CC"
S. Muntari,Milan,15,76,"CDC, CC"
G. Pazzini,Milan,15,76,ATT
A. Gómez,Atalanta,15,76,ES
C. Maggio,Napoli,15,76,"TD, ED"
J. Vargas,Fiorentina,15,76,"ES, TS"
J. De Guzmán,Napoli,15,76,"COC, CC"
M. Yanga-M'Biwa,Roma,15,76,"DC, TD"
S. Giovinco,Juventus,15,76,AT
Henrique,Napoli,15,76,"DC, CDC, TD"
T. Heurtaux,Udinese,15,76,"DC, TD"
A. Ljajić,Roma,15,76,"AS, AD, AT"
K. Manolas,Roma,15,76,DC
G. Medel,Inter,15,76,"CDC, CC"
Rômulo,Juventus,15,76,"CC, TD"
Y. Nagatomo,Inter,15,76,ES
Neto,Fiorentina,15,76,POR
M. Perin,Genoa,15,76,POR
M. van Ginkel,Milan,15,76,CC
J. Iličić,Fiorentina,15,76,"AT, COC, AD"
M. Badelj,Fiorentina,15,76,"CC, CDC"
M. Icardi,Inter,15,76,ATT
A. Florenzi,Roma,15,76,"AD, AS, CC"
Jorginho,Napoli,15,76,"CDC, CC"
M. De Sciglio,Milan,15,76,"TD, TS"
D. Berardi,Sassuolo,15,76,"AD, ATT"
Bruno Fernandes,Udinese,15,76,"COC, CC, AT, AS"
N. Maksimović,Torino,15,76,"DC, ED"
B. Keita,Lazio,15,76,"AS, AD"
C. Abbiati,Milan,15,75,POR
D. Pizarro,Fiorentina,15,75,"CDC, CC"
D. Bonera,Milan,15,75,"DC, TD"
M. Essien,Milan,15,75,CDC
E. Moretti,Torino,15,75,DC
M. Domizzi,Udinese,15,75,DC
S. Pepe,Juventus,15,75,"ED, ES"
M. Agazzi,Milan,15,75,POR
M. Ciani,Lazio,15,75,DC
Ederson,Lazio,15,75,"COC, CC"
A. Nocerino,Torino,15,75,"CC, CDC"
A. Konko,Lazio,15,75,TD
Danilo,Udinese,15,75,DC
D. Basta,Lazio,15,75,"TD, ED, ES, TS"
Z. Kuzmanović,Inter,15,75,"CDC, CC"
P. Hetemaj,Chievo Verona,15,75,"CC, COC"
V. Birsa,Chievo Verona,15,75,"AS, AD, COC"
A. Matri,Genoa,15,75,ATT
Eder,Sampdoria,15,75,"AT, COC"
F. Djordjevic,Lazio,15,75,ATT
A. Paloschi,Chievo Verona,15,75,ATT
M. Sau,Cagliari,15,75,"AT, ATT, AS"
M. Britos,Napoli,15,75,DC
M. Lestienne,Genoa,15,75,AS
Ž. Brkić,Udinese,15,75,POR
I. Fetfatzidis,Genoa,15,75,"AD, AS, AT"
M. Gabbiadini,Sampdoria,15,75,"COC, AT"
S. Taïder,Sassuolo,15,75,"CC, CDC"
F. Ghoulam,Napoli,15,75,TS
S. Zaza,Sassuolo,15,75,ATT
O. Onazi,Lazio,15,75,CC
Edenílson,Genoa,15,75,"ED, TD"
V. Ibarbo,Cagliari,15,75,"ATT, AD"
M. Kovačić,Inter,15,75,CC
G. Pinzi,Udinese,15,74,"CDC, CC"
P. Cannavaro,Sassuolo,15,74,DC
A. Gamberini,Chievo Verona,15,74,DC
S. Sorrentino,Palermo,15,74,POR
J. Gillet,Torino,15,74,POR
D. Conti,Cagliari,15,74,"CDC, CC"
C. Bovo,Torino,15,74,DC
M. Pinilla,Genoa,15,74,ATT
M. Borriello,Roma,15,74,ATT
S. Lucchini,Cesena,15,74,DC
M. Cassani,Parma,15,74,"TD, DC"
D. Gastaldello,Sampdoria,15,74,DC
M. Storari,Juventus,15,74,POR
N. Burdisso,Genoa,15,74,DC
Rafael,Hellas Verona,15,74,POR
A. Lucarelli,Parma,15,74,DC
G. Stendardo,Atalanta,15,74,DC
Amauri,Torino,15,74,ATT
M. Pasqual,Fiorentina,15,74,"TS, ES"
D. Padelli,Torino,15,74,POR
C. Théréau,Udinese,15,74,ATT
J. Carrizo,Inter,15,74,POR
I. Abate,Milan,15,74,"TD, ED"
L. De Silvestri,Sampdoria,15,74,"TD, ED"
M. Andreolli,Inter,15,74,DC
P. Kone,Udinese,15,74,"COC, CC, AT"
J. Zúñiga,Napoli,15,74,"TS, ES"
G. Vives,Torino,15,74,"CDC, CC"
A. Ekdal,Cagliari,15,74,CC
V. Torosidis,Roma,15,74,"TD, TS"
Á. González,Lazio,15,74,"CC, ED"
O. Karnezis,Udinese,15,74,POR
M. Moralez,Atalanta,15,74,"AT, COC"
D. Perotti,Genoa,15,74,"ES, ED"
F. Roncaglia,Genoa,15,74,"DC, TD"
M. Darmian,Torino,15,74,"ED, TD"
L. Rossettini,Cagliari,15,74,DC
O. El Kaddouri,Torino,15,74,"CC, COC"
C. Carmona,Atalanta,15,74,"CC, CDC"
M. Estigarribia,Atalanta,15,74,"ES, ED"
Rubén Pérez,Torino,15,74,"CDC, CC"
Rafael,Napoli,15,74,POR
F. Bardi,Chievo Verona,15,74,POR
Allan,Udinese,15,74,"CDC, CC"
C. Tătăruşanu,Fiorentina,15,74,POR
David López,Napoli,15,74,"CDC, CC"
N. Sansone,Sassuolo,15,74,"AS, AD"
J. Sánchez Miño,Torino,15,74,ES
M. Niang,Milan,15,74,"AD, ATT"
N. López,Hellas Verona,15,74,"AS, AD, AT"
C. Carbonero,Cesena,15,74,ED
D. Zapata,Napoli,15,74,ATT
J. Saviola,Hellas Verona,15,73,"ATT, COC"
M. Marchionni,Sampdoria,15,73,"CC, CDC"
L. Toni,Hellas Verona,15,73,ATT
A. Floro Flores,Sassuolo,15,73,"ATT, AS"
T. Manfredini,Sassuolo,15,73,DC
C. Zaccardo,Milan,15,73,"DC, TD"
S. Padoin,Juventus,15,73,"ED, CC"
A. Cossu,Cagliari,15,73,"COC, AS"
Albert Riera,Udinese,15,73,"TS, ES, AS"
F. Lodi,Parma,15,73,"CDC, CC"
G. Biava,Atalanta,15,73,DC
M. El Hamdaoui,Fiorentina,15,73,ATT
L. Rigoni,Palermo,15,73,"CC, CDC"
M. Obbadi,Hellas Verona,15,73,"CC, CDC"
M. Izco,Chievo Verona,15,73,"CC, CDC"
B. Dramé,Atalanta,15,73,"TS, ES"
U. Emanuelson,Roma,15,73,TS
S. Romero,Sampdoria,15,73,POR
P. Armero,Milan,15,73,"TS, ES"
S. Okaka Chuka,Sampdoria,15,73,ATT
B. Janković,Hellas Verona,15,73,"AS, AD"
W. Gargano,Napoli,15,73,"CC, CDC"
J. Kucka,Genoa,15,73,"ES, CC, CDC"
E. Schelotto,Chievo Verona,15,73,"ED, AD"
N. Tomović,Fiorentina,15,73,TD
I. Belfodil,Parma,15,73,"ATT, AS"
L. Muriel,Udinese,15,73,ATT
F. Acerbi,Sassuolo,15,73,DC
Pedro Obiang,Sampdoria,15,73,"CC, CDC"
Felipe Anderson,Lazio,15,73,"AS, COC"
D. Baselli,Atalanta,15,73,"CC, CDC"
Guilherme,Udinese,15,73,"CDC, CC"
R. Botta,Chievo Verona,15,73,"COC, AT"
L. Castellazzi,Torino,15,72,POR
D. Dainelli,Chievo Verona,15,72,DC
A. Bizzarri,Chievo Verona,15,72,POR
A. Farnerud,Torino,15,72,"CC, CDC"
M. Maccarone,Empoli,15,72,ATT
G. Sculli,Lazio,15,72,"AS, ATT"
R. Bianchi,Atalanta,15,72,ATT
D. Brivio,Hellas Verona,15,72,"TS, ES"
V. Avramov,Atalanta,15,72,POR
E. Hallfreðsson,Hellas Verona,15,72,CC
A. Gazzi,Torino,15,72,"CDC, CC"
M. López,Chievo Verona,15,72,ATT
B. Cesar,Chievo Verona,15,72,DC
G. Marchese,Genoa,15,72,"DC, TS"
C. Molinaro,Torino,15,72,"TS, ES"
V. Moras,Hellas Verona,15,72,DC
Rafael Marques,Hellas Verona,15,72,DC
R. Palladino,Parma,15,72,"AT, AS"
A. Coda,Udinese,15,72,DC
A. Lazzari,Fiorentina,15,72,"CDC, CC"
Barreto,Torino,15,72,AT
G. Rodríguez,Hellas Verona,15,72,DC
G. Curci,Roma,15,72,POR
S. Floccari,Sassuolo,15,72,ATT
S. Bamba,Palermo,15,72,DC
L. Antonelli,Genoa,15,72,"ES, TS"
A. Costa,Parma,15,72,"DC, TS"
L. Christodoulopoulos,Hellas Verona,15,72,"CC, COC, AT, ES"
J. Holebas,Roma,15,72,"TS, ES, AS"
R. Meggiorini,Chievo Verona,15,72,ATT
E. Berisha,Lazio,15,72,POR
G. Sansone,Sampdoria,15,72,"COC, AT, AS"
Iago Falqué,Genoa,15,72,ES
N. Krstičić,Sampdoria,15,72,"CC, CDC, COC"
A. Bertolacci,Genoa,15,72,CC
E. Badu,Udinese,15,72,"CDC, CC"
K. Babacar,Fiorentina,15,72,ATT
João Pedro Galvão,Cagliari,15,72,"AS, CC"
L. Cavanda,Lazio,15,72,TD
K. Koulibaly,Napoli,15,72,DC
R. Saponara,Milan,15,72,COC
J. Kurtić,Fiorentina,15,72,"CDC, CC"
Danilo Avelar,Cagliari,15,72,TS
Š. Vrsaljko,Sassuolo,15,72,"ED, TD"
C. Jorquera,Parma,15,72,COC
G. González,Palermo,15,72,DC
S. Widmer,Udinese,15,72,"ED, TD"
A. Palombo,Sampdoria,15,71,CDC
G. Pegolo,Sassuolo,15,71,POR
F. Balzaretti,Roma,15,71,TS
F. Brienza,Cesena,15,71,"AT, ED"
M. Gobbi,Parma,15,71,"TS, ES"
G. Migliaccio,Atalanta,15,71,"CC, DC, CDC"
L. Greco,Genoa,15,71,CC
E. Barreto,Palermo,15,71,"CC, CDC"
M. Silvestre,Sampdoria,15,71,DC
D. Galloppa,Parma,15,71,"CC, CDC"
F. Pisano,Cagliari,15,71,TD
M. Motta,Juventus,15,71,"ED, TD"
D. Dessena,Cagliari,15,71,"CC, TD"
M. Andújar,Napoli,15,71,POR
Nenê,Hellas Verona,15,71,ATT
S. De Maio,Genoa,15,71,DC
Y. Benalouane,Atalanta,15,71,"TD, DC"
I. Radovanovic,Chievo Verona,15,71,"CC, CDC"
E. Muñoz,Palermo,15,71,DC
Diego Farías,Cagliari,15,71,"AD, AS"
M. Basha,Torino,15,71,"CC, CDC"
T. Rincón,Genoa,15,71,"CDC, CC, ED"
R. Krhin,Inter,15,71,"CDC, CC"
Gabriel Silva,Udinese,15,71,"ES, TS"
S. Makienok,Palermo,15,71,ATT
Luna,Hellas Verona,15,71,TS
A. Acquah,Parma,15,71,"CC, CDC"
N. Leali,Cesena,15,71,POR
F. Sørensen,Hellas Verona,15,71,DC
M. Capuano,Cagliari,15,71,DC
S. Sturaro,Genoa,15,71,"CC, CDC"
L. Paredes,Roma,15,71,COC
S. Uçan,Roma,15,71,"CC, COC"
S. Scuffet,Udinese,15,71,POR
I. Bubnjić,Udinese,15,71,DC
Felipe,Parma,15,70,DC
M. Brighi,Sassuolo,15,70,CC
F. Tavano,Empoli,15,70,ATT
C. Terzi,Palermo,15,70,DC
G. Mesto,Napoli,15,70,"TD, ED"
M. Santana,Genoa,15,70,ES
B. Lobonţ,Roma,15,70,POR
L. Antonini,Genoa,15,70,"DC, TD"
F. Magnanelli,Sassuolo,15,70,"CDC, CC"
D. Mesbah,Sampdoria,15,70,"TS, ES"
N. Pozzi,Parma,15,70,ATT
T. Guarente,Empoli,15,70,"CC, CDC"
E. Cascione,Cesena,15,70,"CDC, CC"
G. Bergessio,Sampdoria,15,70,ATT
F. Peluso,Sassuolo,15,70,"TS, ES, DC"
F. Cacciatore,Sampdoria,15,70,TD
S. Eriksson,Cagliari,15,70,CC
L. Ariaudo,Sassuolo,15,70,DC
Da Costa,Sampdoria,15,70,POR
P. Tachtsidis,Hellas Verona,15,70,"CDC, CC"
E. Zukanović,Chievo Verona,15,70,DC
J. Obi,Inter,15,70,CC
R. Soriano,Sampdoria,15,70,"CC, COC"
Dodô,Inter,15,70,"TS, ES"
V. Regini,Sampdoria,15,70,"TS, DC"
L. Marrone,Juventus,15,70,"CDC, DC"
D. Lazarević,Chievo Verona,15,70,"ED, ES, AD, AS"
L. Crisetig,Cagliari,15,70,"CDC, CC"
R. Boakye,Atalanta,15,70,"ATT, AS"
I. Cofie,Chievo Verona,15,70,"CC, CDC"
S. Benedetti,Cagliari,15,70,DC
Pedro Mendes,Parma,15,70,DC
J. Gomez,Hellas Verona,15,70,"AS, AD"
S. Gentiletti,Lazio,15,70,DC
N. Bellomo,Chievo Verona,15,70,"COC, CC"
L. Ceppitelli,Cagliari,15,70,DC
L. Pavoletti,Sassuolo,15,70,ATT
N. Murru,Cagliari,15,70,TS
Bruno Peres,Torino,15,70,TD
A. Romagnoli,Sampdoria,15,70,"DC, TS"
P. Dybala,Palermo,15,70,AT
A. González,Hellas Verona,15,70,"DC, TD"
A. Agostini,Hellas Verona,15,69,TS
S. Pellissier,Chievo Verona,15,69,ATT
E. Braafheid,Lazio,15,69,TS
G. Sardo,Chievo Verona,15,69,"TD, ED"
C. Puggioni,Chievo Verona,15,69,POR
D. Biondini,Sassuolo,15,69,"CC, CDC"
J. Basanta,Fiorentina,15,69,DC
P. De Ceglie,Parma,15,69,"ES, CC"
S. Ujkani,Palermo,15,69,POR
Pereirinha,Lazio,15,69,TD
T. Mangani,Chievo Verona,15,69,"CC, CDC"
D. Bassi,Empoli,15,69,POR
N. Frey,Chievo Verona,15,69,"TD, DC, TS"
E. Pisano,Palermo,15,69,"TD, ED"
T. Kupisz,Chievo Verona,15,69,ED
M. Larrondo,Torino,15,69,ATT
Edimar,Chievo Verona,15,69,TS
G. Marilungo,Cesena,15,69,"ATT, AS"
Ł. Skorupski,Roma,15,69,POR
M. D'Alessandro,Atalanta,15,69,"AD, AS"
D. Novaretti,Lazio,15,69,DC
M. Faraoni,Udinese,15,69,"ED, TD"
L. Tonelli,Empoli,15,69,DC
C. Biraghi,Chievo Verona,15,69,"TS, ES"
I. Piris,Udinese,15,69,"TD, TS"
L. Antei,Sassuolo,15,69,DC
M. Vecino,Empoli,15,69,CC
G. Pasquale,Udinese,15,68,ES
E. Maresca,Palermo,15,68,"CC, CDC"
G. Bellini,Atalanta,15,68,"TD, TS"
C. Lupatelli,Fiorentina,15,68,POR
F. Agliardi,Cesena,15,68,POR
Rubinho,Juventus,15,68,POR
A. Geijo,Udinese,15,68,"ATT, AT"
P. Bianco,Sassuolo,15,68,DC
D. Succi,Cesena,15,68,ATT
R. Cazzola,Cesena,15,68,CC
O. Iakovenko,Fiorentina,15,68,"ED, ES"
A. Balzano,Cagliari,15,68,"TD, ED"
S. Missiroli,Sassuolo,15,68,CC
D. Capelli,Cesena,15,68,DC
F. Della Rocca,Palermo,15,68,CC
A. Rosi,Genoa,15,68,"ED, TD"
N. Cherubin,Atalanta,15,68,DC
E. Terranova,Sassuolo,15,68,DC
G. Ngoyi,Palermo,15,68,CDC
G. Perico,Cesena,15,68,TD
L. Giorgi,Cesena,15,68,ED
M. Valdifiori,Empoli,15,68,"CC, CDC"
P. Jansson,Torino,15,68,DC
D. D'Ambrosio,Inter,15,68,"ES, ED, TS"
P. Wszołek,Sampdoria,15,68,"COC, ES"
S. Longo,Cagliari,15,68,ATT
A. Belotti,Palermo,15,68,ATT
P. Zieliński,Empoli,15,68,"COC, AT"
L. Đorđević,Sampdoria,15,68,"ATT, AS, AD"
M. Benassi,Torino,15,68,CC
F. Bernardeschi,Fiorentina,15,68,"AD, AS"
D. Laxalt,Empoli,15,68,"CC, COC"
D. Zappacosta,Atalanta,15,68,"ED, TD"
F. Mussis,Genoa,15,68,CC
João Silva,Palermo,15,68,ATT
F. Benussi,Hellas Verona,15,67,POR
R. Vitiello,Palermo,15,67,"TD, DC"
A. Rosati,Napoli,15,67,POR
N. Pulzetti,Cesena,15,67,CC
C. Del Grosso,Atalanta,15,67,"TS, ES"
M. Morganella,Palermo,15,67,"ED, TD"
M. Volta,Cesena,15,67,DC
L. Mchedlidze,Empoli,15,67,ATT
F. Bolzoni,Palermo,15,67,"CC, CDC"
S. Colombi,Cagliari,15,67,POR
E. Lamanna,Genoa,15,67,POR
L. Sepe,Empoli,15,67,POR
M. Valoti,Hellas Verona,15,67,"COC, ED"
A. Cragno,Cagliari,15,67,POR
M. Pucciarelli,Empoli,15,67,COC
R. Chibsah,Sassuolo,15,67,"CDC, CC"
F. Vázquez,Palermo,15,67,"COC, AT"
Jadson,Udinese,15,67,CDC
V. Laurini,Empoli,15,67,TD
E. Hysaj,Empoli,15,67,"TS, TD"
D. Rugani,Empoli,15,67,DC
D. Cataldi,Lazio,15,67,"CC, COC"
K. Coman,Juventus,15,67,"AS, ATT"
S. Molina,Atalanta,15,67,ED
L. Scaloni,Atalanta,15,66,TD
S. Aronica,Palermo,15,66,DC
D. Croce,Empoli,15,66,CC
G. De Feudis,Cesena,15,66,"CC, CDC"
A. Ghezzal,Parma,15,66,"AT, AS, AD"
M. Albertazzi,Milan,15,66,TS
M. Pamić,Chievo Verona,15,66,TS
F. Daprelà,Palermo,15,66,"ES, TS"
F. Renzetti,Cesena,15,66,"TS, ES"
S. Verdi,Empoli,15,66,COC
A. Seculin,Chievo Verona,15,66,POR
A. Iacobucci,Parma,15,66,POR
S. Anđelković,Palermo,15,66,DC
F. Seymour,Genoa,15,66,"CC, CDC"
Mário Rui,Empoli,15,66,TS
M. Wagué,Udinese,15,66,DC
M. Bianchetti,Empoli,15,66,DC
A. Longhi,Sassuolo,15,66,"TS, ES"
J. Martínez,Torino,15,66,"ES, ED"
F. Fedato,Sampdoria,15,66,AS
A. Tabanelli,Cesena,15,66,"CC, COC"
F. Barba,Empoli,15,66,DC
A. Zapata,Udinese,15,66,COC
V. Rosseti,Atalanta,15,66,"ATT, AS"
G. Silva,Torino,15,66,"TS, DC"
I. Chochev,Palermo,15,66,"CC, COC"
D. Moro,Empoli,15,65,CC
N. Belmonte,Udinese,15,65,DC
F. Santacroce,Parma,15,65,"DC, TD"
Marcos Alonso,Fiorentina,15,65,TS
A. Mazzotta,Cesena,15,65,TS
J. Sala,Hellas Verona,15,65,"CC, ED"
F. Signorelli,Empoli,15,65,CC
R. Quaison,Palermo,15,65,CC
A. Duncan,Sampdoria,15,65,CC
I. Mbaye,Inter,15,65,"ES, ED"
A. Hegazy,Fiorentina,15,65,DC
A. Izzo,Genoa,15,65,DC
R. Aguirre,Empoli,15,65,"ATT, AT"
W. Bressan,Cesena,15,64,POR
A. Cordaz,Parma,15,64,POR
R. Colombo,Napoli,15,64,POR
C. Polito,Sassuolo,15,64,POR
R. Perticone,Empoli,15,64,"DC, TD"
M. Gazzola,Sassuolo,15,64,"TD, ED"
M. Milanović,Palermo,15,64,DC
A. Pomini,Sassuolo,15,64,POR
A. Rispoli,Parma,15,64,TD
M. Djuric,Cesena,15,64,ATT
A. Rodríguez,Cesena,15,64,ATT
G. Defrel,Cesena,15,64,"AT, AS, AD"
H. Magnússon,Cesena,15,64,"DC, TS"
Emerson,Palermo,15,64,TS
M. Hallberg,Udinese,15,64,"CC, CDC, ED"
J. Radošević,Napoli,15,64,"CDC, CC"
T. Strakosha,Lazio,15,64,POR
L. Rizzo,Sampdoria,15,64,"CC, ES"
A. Sanabria,Roma,15,64,ATT
T. Berni,Inter,15,63,POR
S. Masiello,Torino,15,63,"ES, TS"
T. Danilevičius,Parma,15,63,ATT
M. Coppola,Cesena,15,63,"CC, CDC"
Z. Laczkó,Sampdoria,15,63,TS
M. Velardi,Parma,15,63,"ED, ADA, TD"
Zé Eduardo,Cesena,15,63,"COC, CC"
S. Bidaoui,Parma,15,63,"AS, AD"
A. Ioniţă,Hellas Verona,15,63,"CDC, CC, COC"
Miranda,Chievo Verona,15,63,POR
L. Spinazzola,Atalanta,15,63,"ES, ED"
L. Martinelli,Empoli,15,63,DC
L. Krajnc,Cesena,15,63,DC
G. Campanharo,Hellas Verona,15,63,"CC, CDC"
Lucas Souza,Parma,15,63,"CDC, CC"
Octávio,Fiorentina,15,63,COC
Lucas Evangelista,Udinese,15,63,COC
Y. Bnou-Marzuk,Juventus,15,63,ATT
Caio Rangel,Cagliari,15,63,AD
G. Frezzolini,Atalanta,15,62,POR
C. Raimondi,Atalanta,15,62,"ED, TD"
I. Zeytulaev,Torino,15,62,"AS, AD"
A. Barusso,Torino,15,62,"CDC, CC"
I. Martić,Hellas Verona,15,62,TD
B. Vicente,Parma,15,62,"CDC, CC"
J. Brillante,Fiorentina,15,62,"CC, TD, COC"
A. Lazaar,Palermo,15,62,"ES, TS"
L. Finazzi,Chievo Verona,15,62,"CC, CDC"
C. Nica,Cesena,15,62,"TD, TS"
W. Carboni,Cagliari,15,62,POR
Carlos Blanco,Juventus,15,62,DC
Sergio Buenacasa,Juventus,15,62,ATT
Z. Feddal,Palermo,15,61,"DC, ES"
I. Shekiladze,Empoli,15,61,ATT
M. Tounkara,Lazio,15,61,ATT
R. Serpieri,Lazio,15,61,DC
L. Lezzerini,Fiorentina,15,61,POR
S. Solinas,Cagliari,15,61,AT
G. Donsah,Cagliari,15,61,CC
R. Strasser,Genoa,15,60,"CC, CDC, DC"
D. Jawad,Genoa,15,60,"ED, ES"
A. De Vitis,Sampdoria,15,60,CC
M. Alhassan,Udinese,15,60,"ES, TS"
R. Stillo,Parma,15,60,POR
L. Garritano,Cesena,15,60,"AT, AS"
J. Cevallos,Juventus,15,60,COC
A. Ampuero,Parma,15,60,"ES, CC"
M. Sportiello,Atalanta,15,60,POR
F. Mattiello,Juventus,15,60,ED
D. Cinaglia,Torino,15,60,DC
F. Bonazzoli,Inter,15,60,ATT
N. Barella,Cagliari,15,60,CC
M. Somma,Roma,15,60,"DC, TD"
A. Meret,Udinese,15,60,POR
G. Sorcan,Chievo Verona,15,60,POR
M. Širok,Parma,15,60,TD
M. Coda,Parma,15,59,"ATT, AT"
G. Pollace,Lazio,15,59,TD
M. Antic,Lazio,15,59,CC
A. Guidiala,Inter,15,59,ATT
A. Loi,Cagliari,15,59,COC
A. Capello,Cagliari,15,59,"CC, AD"
S. Ristovski,Parma,15,58,"ED, TD"
T. Svedkauskas,Roma,15,58,POR
L. Citti,Juventus,15,58,POR
A. Grassi,Atalanta,15,58,CC
J. Olausson,Atalanta,15,58,CC
M. Suella,Cagliari,15,58,AD
G. Sciacca,Inter,15,58,DC
D. Lodesani,Sassuolo,15,57,AD
E. Ceria,Juventus,15,57,ES
F. Boni,Hellas Verona,15,57,DC
F. Gaetano,Napoli,15,57,COC
A. Palazzi,Inter,15,57,CDC
O. Arzamendia,Hellas Verona,15,56,"CC, COC"
R. Alborno,Inter,15,56,"TS, ES"
E. Gliozzi,Sassuolo,15,56,ATT
D. Vacondio,Sassuolo,15,56,TD
L. Cargnino,Torino,15,56,DC
M. Muroni,Cagliari,15,56,CC
D. Costa,Inter,15,56,POR
J. Petriccione,Fiorentina,15,56,CDC
D. Sommariva,Genoa,15,56,POR
M. Casale,Inter,15,55,ATT
M. Bachini,Empoli,15,55,DC
F. Di Mariano,Roma,15,55,COC
N. Contini,Napoli,15,55,POR
F. Liivak,Napoli,15,55,ATT
E. Bearzotti,Hellas Verona,15,55,ATT
M. Fornasier,Sampdoria,15,54,DC
D. Konate,Empoli,15,54,DC
P. Gollini,Hellas Verona,15,54,POR
A. Atzori,Cagliari,15,54,CC
L. Palmiero,Napoli,15,54,CC
V. Guardiglio,Napoli,15,54,TD
A. Romano,Napoli,15,54,CC
R. Mandragora,Genoa,15,54,CC
F. Pacini,Empoli,15,53,POR
I. Donkor,Inter,15,53,TD
S. Monni,Torino,15,53,AS
G. Graziano,Torino,15,53,CDC
P. Cappelluzzo,Hellas Verona,15,53,ATT
I. Toskic,Chievo Verona,15,52,CC
T. Velocci,Genoa,15,52,AT
M. Saias,Cagliari,15,52,TD
S. Luperto,Napoli,15,52,TS
E. Rovini,Empoli,15,51,"AT, COC"
G. Bennati,Genoa,15,51,CC
L. Gallotti,Genoa,15,51,TS
